,close-1,open-1,high-1,low-1,estimated-transaction-volume-usd-1,n-transactions-1,hash-rate-1,difficulty-1,cost-per-transaction-1,Gold price-1,output-volume-0,trade-volume-1,USD-CNY Price-1,SVI-0,Wikiviews-0
2020-12-21,-755.4840409999997,-383.80919399999766,-184.2069080000001,-1167.3100000000013,1482566768.2088008,-12209.0,-13921486.696030483,0.0,0.4556960316229208,-288.7165532879817,1743577.7641969968,-126914281.26279992,-0.18320985259891653,18.57471264367816,7033
2020-12-22,1104.281508,-755.4704300000012,-276.4930920000006,446.6700000000019,2499367603.934488,54329.0,6496693.791480929,0.0,-12.390983361576772,14.900000000000091,2040795.083998015,345626552.08239996,-0.004100000000000215,18.57471264367816,6169
2020-12-23,-584.3007170000019,1104.3082570000006,237.9900000000016,253.45023500000025,9571141.517103195,14300.0,10209090.243755654,0.0,3.6760209947498907,-4.2000000000000455,2006004.4564819324,-213375884.80509996,-0.0026000000000001577,18.57471264367816,5239
2020-12-24,476.46490300000005,-585.3315829999992,-302.78633700000137,79.78976499999771,-2408829239.356791,-68904.0,-25986775.165923536,0.0,0.051472441553428894,8.100000000000136,2115162.459112653,149370467.19139993,-0.009999999999999787,18.57471264367816,4181
2020-12-25,977.1469120000002,477.60330199999953,996.5863370000006,692.9099999999999,-1667018160.0625129,34342.0,16705784.035236552,0.0,1.3071703374175883,269.9165532879815,2043474.7902727115,-238495208.71459997,0.010799999999999699,18.57471264367816,3504
2020-12-26,1757.679333,976.9307879999978,2031.2099999999991,1084.0900000000001,263230457.6288371,-29947.0,-6496693.791480854,0.0,7.9391150537277895,0.0,2013537.2721217351,30759191.047499955,0.189109852598917,18.57471264367816,4946
2020-12-27,-205.08789799999795,1758.892796,1558.6607689999983,1289.4000000000015,2099534200.0553813,35051.0,10209090.243755668,0.0,2.8759183139952853,0.0,2514614.6976488405,155136999.31630003,0.0,40.0,7398
2020-12-28,786.6599999999999,-206.2331299999969,-897.7807689999972,298.5400000000009,3312161734.243726,-22.0,10579365.262641639,-70134413162.86719,6.979323970293322,-249.91655328798151,1980852.0074605905,291585844.7331,-0.19530985259891676,18.57471264367816,8351
2020-12-29,333.7448599999989,786.5940349999983,-66.43000000000029,-229.04000000000087,-2522587901.509697,27328.0,-7400234.611095011,-441096938.1328125,-12.169876806027446,-3.400000000000091,1845946.881811576,-311182702.4208001,-0.0045999999999999375,18.57471264367816,7943
2020-12-30,1518.3170910000008,333.38928400000077,1605.2248639999998,1502.5,336198819.63392353,1947.0,18491815.708646536,0.0,15.11949696007747,-1.7999999999999545,1743500.8467240594,73516150.44010007,-0.009199999999999875,18.57471264367816,8412
2020-12-31,94.86145199999737,1518.8065659999993,303.76519899999766,638.0392890000003,-203909656.8653183,6660.0,-5547544.712593943,0.0,-2.534366897558101,-17.100000000000136,1945437.0119532992,166466790.72310007,0.0041999999999999815,18.57471264367816,6831
2021-01-01,420.14005800000086,94.75329300000158,375.47316000000137,731.8607110000012,-1293422935.7204494,-86838.0,-15718043.35234958,0.0,15.432352705774917,-3.599999999999909,1603396.2137116976,-144517691.49540007,0.0016999999999995907,18.57471264367816,5193
2021-01-02,2811.4065389999996,420.93179299999974,3598.7288020000015,318.59999999999854,1809028613.0639915,39031.0,1849181.5708646774,0.0,-4.889315799607729,275.8165532879816,2164453.295742704,-115266081.7701,0.203209852598917,18.57471264367816,10916
2021-01-03,854.9700000000012,2810.6550289999977,1493.459551,2990.0,-304494155.02971077,62005.0,6472135.498026282,0.0,-7.011778010299508,0.0,2211805.282375474,902648588.4223001,0.0,64.0,15065
2021-01-04,-1029.3111449999997,854.9700000000012,-1114.0014359999986,-4157.211298999999,1655404952.7808056,14618.0,13868861.781484902,0.0,3.5507039585659186,-269.3165532879816,1922521.52090158,-418075211.5488001,-0.2698098525989172,18.57471264367816,16072
2021-01-05,2000.8419070000018,-1029.718839000001,836.0532400000011,2066.141298999999,-727740006.7927294,-19643.0,-14793452.56691721,0.0,-3.847046396934701,-0.20000000000004547,2209914.206015808,456181838.2834002,-0.00509999999999966,18.57471264367816,12893
2021-01-06,2838.1401899999983,2001.9874419999978,2504.3643389999997,3452.069000000003,774568866.7332888,43293.0,18491815.708646536,0.0,8.485548257496248,14.200000000000045,2131442.7395492857,-405089421.10360014,0.006700000000000372,18.57471264367816,13193
2021-01-07,2625.0988880000004,2834.177453000004,3378.5787249999994,2964.5009999999966,2346792939.569462,4360.0,-8321317.068890929,0.0,3.7293056671508538,1.599999999999909,2751162.1980613857,387230221.1584002,0.014299999999999535,18.57471264367816,16944
2021-01-08,1145.7959950000004,2628.3263880000013,1610.273556,307.8482139999978,-1057926049.3756561,-43218.0,-18491815.708646595,0.0,6.196642530974827,11.200000000000045,2518905.296970445,422460125.6207998,-0.001000000000000334,18.57471264367816,17141
2021-01-09,-395.7198239999998,1145.7650280000016,-581.3700000000026,2126.661786000004,-3024557107.920741,-37137.0,-3031411.7218799144,765573658795.7617,4.8119193283236115,242.51655328798165,1924128.5592848049,-42353371.60000014,0.2549098525989173,18.57471264367816,11698
2021-01-10,-2076.8460110000015,-395.7707320000045,33.3048970000018,-3981.2069830000037,-1536090990.3393564,10476.0,29071626.40266867,1242251597291.2383,7.130043257819182,0.0,1802561.284377868,-1082785964.1815996,0.0,63.0,11146
2021-01-11,-2698.4422980000018,-2076.766739999999,-3190.004896999999,-4519.882393,2648741440.7700233,2093.0,-5122001.601407975,0.0,-17.205600476166254,-244.7165532879817,2438667.9365127706,703975970.1971997,-0.2504098525989171,18.57471264367816,17631
2021-01-12,-1436.163112999995,-2723.9199999999983,-1647.2258860000002,2230.7793760000022,430446166.8280554,2669.0,-6146401.92168954,0.0,-0.13965422258972637,10.100000000000136,2210729.2632828536,1623614542.9100008,-0.018499999999999517,18.57471264367816,15403
2021-01-13,3345.105410999997,-1411.590164000001,1218.7843659999999,-174.70000000000073,-2080162725.939186,-17460.0,4097601.28112635,0.0,4.731852552941604,-5.7999999999999545,1781868.5424489914,-1694951220.9110005,0.006699999999999484,18.57471264367816,14684
2021-01-14,1761.5999999999985,3346.110163999998,2275.4978530000008,4415.0,3075491570.3347054,19642.0,-5122001.601407975,0.0,3.3079212143150727,-19.100000000000136,1934960.557503856,-135036443.02600002,0.00590000000000046,18.57471264367816,15481
2021-01-15,-2387.0999999999985,1761.5,-419.5293320000055,-2363.5999999999985,-1822365785.4506664,5193.0,8195202.56225273,0.0,0.5369361678757656,0.5,1735779.466270427,-220136797.41380012,0.006400000000000183,18.57471264367816,12050
2021-01-16,-735.3285319999995,-2387.0999999999985,-1746.4270009999964,993.5999999999985,-3960043956.6778393,-35541.0,-8195202.56225273,0.0,0.23795909440627838,259.01655328798165,1699036.9343569635,206045510.78639996,0.24990985259891652,18.57471264367816,7913
2021-01-17,-212.771467999999,-737.2333030000009,-1089.5351010000013,-1535.4000000000015,-8973050.460823536,-36587.0,-14341604.4839423,0.0,-4.086584144631075,-269.51655328798165,1426059.4640880884,-509901603.6852,0.0,40.0,7355
2021-01-18,800.5499999999956,-210.86669699999766,560.1351009999998,926.2302200000049,1288047455.7327976,41942.0,12292803.84337914,0.0,-3.440477598053519,-11.299999999999955,1788904.5764252178,-35054747.65789986,-0.2397098525989172,18.57471264367816,8271
2021-01-19,-690.4499999999971,800.5499999999956,452.09999999999854,1131.569779999998,3659930759.870999,11267.0,4097601.28112635,0.0,2.6732521116181545,6.2000000000000455,2111753.333169642,-59534888.11310017,-0.012500000000000178,18.57471264367816,8904
2021-01-20,-418.6967189999996,-691.3499999999985,-1456.569816999996,-2501.4588710000025,-2414616672.269437,-10274.0,-8195202.56225276,0.0,-7.756921035067421,9.899999999999864,2021208.163186301,-10936316.943199992,-0.012699999999999712,18.57471264367816,6732
